station_id,bike_id,timestamp,number_of_bikes_available,number_of_bikes_in_use,number_of_bikes_not_in_use,maintenance_needed,demand,weather_rainy,weather_sunny,events_none,events_sports_event,holidays_public_holiday
39,696,2023-01-01 00:00:00,17,19,3,0,72,False,False,False,True,False
29,633,2023-01-01 01:00:00,6,10,6,0,4,True,False,False,False,False
15,844,2023-01-01 02:00:00,19,14,4,0,0,True,False,False,False,False
43,501,2023-01-01 03:00:00,23,13,3,0,10,False,True,True,False,False
8,604,2023-01-01 04:00:00,23,16 ,4,0,3,False,False,True,False,False
21,582,2023-01-01 05:00:00,22,1,10,0,37,True,False,False,False,True
39,916,2023-01-01 06:00:00,25,17,3,0,16,False,False,False,False,False
19,133,2023-01-01 07:00:00,24,15,7,0,67,False,False,True,False,False
23,791,2023-01-01 08:00:00,3,11,7,1,31,True,False,False,True,False
11,649,2023-01-01 09:00:00,6,9,0,0,4,True,False,False,True,True
11,314,2023-01-01 10:00:00,9,27,2,0,21,False,True,True,False,False
24,699,2023-01-01 11:00:00,25,15,10,0,77,False,True,True,False,False
36,221,2023-01-01 12:00:00,14,2,3,0,84,False,True,True,False,False
40,976,2023-01-01 13:00:00,11,7,1,0,81,True,False,False,False,False
24,438,2023-01-01 14:00:00,0,26,4,0,66,False,True,False,True,True
3,46,2023-01-01 15:00:00,19,21,10,0,10,False,False,True,False,True
22,790,2023-01-01 16:00:00,17,21,7,1,99,False,True,False,True,False
2,192,2023-01-01 17:00:00,24,24,1,0,90,False,True,False,False,True
24,520,2023-01-01 18:00:00,15,23,8,0,24,False,True,False,False,True
44,379,2023-01-01 19:00:00,4,1,6,0,41,False,False,True,False,True
30,788,2023-01-01 20:00:00,18,30,5,1,34,False,False,True,False,False
38,691,2023-01-01 21:00:00,3,21,7,0,78,True,False,True,False,True
2,334,2023-01-01 22:00:00,5,0,1,1,58,False,True,True,False,False
21,39,2023-01-01 23:00:00,25,28,4,0,47,False,False,False,True,False
33,293,2023-01-02 00:00:00,16,13,3,1,84,False,False,True,False,True
12,690,2023-01-02 01:00:00,6,24,7,0,2,False,False,False,True,True
22,162,2023-01-02 02:00:00,23,3,0,0,23,True,False,False,False,True
44,331,2023-01-02 03:00:00,22,3,2,0,68,True,False,False,False,False
25,886,2023-01-02 04:00:00,6,8,9,0,100,True,False,False,True,True
49,104,2023-01-02 05:00:00,8,2,7,0,32,False,True,False,True,False
27,161,2023-01-02 06:00:00,12,4,4,1,87,False,False,True,False,True
42,799,2023-01-02 07:00:00,19,0,3,1,69,True,False,True,False,True
28,635,2023-01-02 08:00:00,13,21,5,0,46,True,False,True,False,True
16,54,2023-01-02 09:00:00,15,18,4,0,52,False,False,False,False,False
15,940,2023-01-02 10:00:00,22,0,2,0,44,False,False,False,True,True
47,34,2023-01-02 11:00:00,8,9,10,0,70,False,True,False,True,False
44,242,2023-01-02 12:00:00,14,21,4,0,82,False,True,False,True,True
3,967,2023-01-02 13:00:00,4,29,3,0,56,False,True,False,True,False
37,890,2023-01-02 14:00:00,17,11,0,0,84,True,False,True,False,True
7,113,2023-01-02 15:00:00,30,9,0,0,69,True,False,True,False,True
21,318,2023-01-02 16:00:00,20,1,6,0,39,False,False,False,True,True
9,23,2023-01-02 17:00:00,19,15,3,0,2,False,True,True,False,True
39,558,2023-01-02 18:00:00,7,7,0,0,48,False,False,False,False,True
18,824,2023-01-02 19:00:00,14,13,5,0,13,False,True,True,False,True
4,647,2023-01-02 20:00:00,20,28,10,0,19,False,True,False,False,False
25,118,2023-01-02 21:00:00,24,14,10,1,77,False,True,False,False,True
14,985,2023-01-02 22:00:00,8,15,10,0,65,False,True,False,True,True
50,701,2023-01-02 23:00:00,18,10,10,1,24,False,False,False,True,False
9,643,2023-01-03 00:00:00,28,11,0,0,3,False,False,True,False,False
26,934,2023-01-03 01:00:00,25,1,7,0,40,True,False,False,True,True
2,212,2023-01-03 02:00:00,30,3,8,0,62,False,True,False,False,False
20,418,2023-01-03 03:00:00,21,29,10,1,47,False,False,False,False,False
28,113,2023-01-03 04:00:00,5,2,2,1,54,False,True,True,False,True
47,44,2023-01-03 05:00:00,3,8,6,0,96,False,True,False,False,False
7,128,2023-01-03 06:00:00,10,17,4,0,1,True,False,False,True,True
